quarter,gilt_10y_yield (decimal)
1990Q1,0.115914
1990Q2,0.111541
1990Q3,0.11558600000000001
1990Q4,0.104294
1991Q1,0.10051399999999999
1991Q2,0.10311999999999999
1991Q3,0.094314
1991Q4,0.094079
1992Q1,0.093962
1992Q2,0.08903499999999999
1992Q3,0.089854
1992Q4,0.084594
1993Q1,0.07954
1993Q2,0.08114800000000001
1993Q3,0.070945
1993Q4,0.064521
1994Q1,0.074296
1994Q2,0.08651
1994Q3,0.087728
1994Q4,0.084265
1995Q1,0.084501
1995Q2,0.080389
1995Q3,0.079285
1995Q4,0.075185
1996Q1,0.080837
1996Q2,0.08085200000000001
1996Q3,0.078568
1996Q4,0.07521
1997Q1,0.074097
1997Q2,0.070397
1997Q3,0.067
1997Q4,0.062196999999999995
1998Q1,0.058503
1998Q2,0.056028
1998Q3,0.050262
1998Q4,0.044517
1999Q1,0.045874
1999Q2,0.050761
1999Q3,0.055343
1999Q4,0.052056
2000Q1,0.051816
2000Q2,0.050488
2000Q3,0.052467
2000Q4,0.047994
2001Q1,0.046151
2001Q2,0.051052999999999994
2001Q3,0.049374
2001Q4,0.048392
2002Q1,0.051556
2002Q2,0.050424
2002Q3,0.044812000000000005
2002Q4,0.045506000000000005
2003Q1,0.043385999999999994
2003Q2,0.041268
2003Q3,0.046834
2003Q4,0.048674999999999996
2004Q1,0.046740000000000004
2004Q2,0.051342
2004Q3,0.048562
2004Q4,0.044885
2005Q1,0.047419
2005Q2,0.042466
2005Q3,0.041708999999999996
2005Q4,0.041672
2006Q1,0.042599
2006Q2,0.045967
2006Q3,0.044696999999999994
2006Q4,0.045301
2007Q1,0.047198000000000004
2007Q2,0.053099
2007Q3,0.04912
2007Q4,0.046506
2008Q1,0.044489
2008Q2,0.051394
2008Q3,0.045510999999999996
2008Q4,0.036594
2009Q1,0.033264
2009Q2,0.038165
2009Q3,0.037587
2009Q4,0.040162
2010Q1,0.042344999999999994
2010Q2,0.037076
2010Q3,0.032238
2010Q4,0.037233999999999996
2011Q1,0.038473
2011Q2,0.035253
2011Q3,0.025625
2011Q4,0.022414999999999997
2012Q1,0.023544999999999996
2012Q2,0.018085
2012Q3,0.01765
2012Q4,0.018896
2013Q1,0.020388000000000003
2013Q2,0.023746
2013Q3,0.029384
2013Q4,0.030480999999999998
2014Q1,0.028540999999999997
2014Q2,0.028425
2014Q3,0.025213
2014Q4,0.019345
2015Q1,0.017789
2015Q2,0.021772999999999997
2015Q3,0.018663
2015Q4,0.019202
2016Q1,0.015534
2016Q2,0.012985
2016Q3,0.008041
2016Q4,0.01456
2017Q1,0.012057
2017Q2,0.010887
2017Q3,0.012563999999999999
2017Q4,0.01284
2018Q1,0.015255000000000001
2018Q2,0.01433
2018Q3,0.015105
2018Q4,0.012802000000000001
2019Q1,0.011741
2019Q2,0.009146
2019Q3,0.005404
2019Q4,0.007792
2020Q1,0.004045
2020Q2,0.002432
2020Q3,0.002521
2020Q4,0.002986
2021Q1,0.00861
2021Q2,0.00866
2021Q3,0.008072000000000001
2021Q4,0.008184
2022Q1,0.015168
2022Q2,0.023988999999999996
2022Q3,0.034429
2022Q4,0.03422
2023Q1,0.034935999999999995
2023Q2,0.042409999999999996
2023Q3,0.043442
2023Q4,0.038116
2024Q1,0.039689
2024Q2,0.041159999999999995
2024Q3,0.038716
2024Q4,0.044123
2025Q1,0.046501
2025Q2,0.045574
2025Q3,0.047363
2025Q4,0.045548000000000005
